21-Febrero-2018 => Estacion: El Camal;0.87;18.43
22-Febrero-2018 => Estacion: El Camal;0.83;19.27
23-Febrero-2018 => Estacion: El Camal;0.8;18.13
24-Febrero-2018 => Estacion: El Camal;0.8;13.94
25-Febrero-2018 => Estacion: El Camal;0.77;16.41
26-Febrero-2018 => Estacion: El Camal;0.75;16.34
27-Febrero-2018 => Estacion: El Camal;0.68;20.3
28-Febrero-2018 => Estacion: El Camal;0.61;21.16
01-Febrero-2018 => Estacion: Centro;1.02;26.66
02-Febrero-2018 => Estacion: Centro;0.9;23.54
03-Febrero-2018 => Estacion: Centro;0.88;21.61
04-Febrero-2018 => Estacion: Centro;0.61;19.05
05-Febrero-2018 => Estacion: Centro;0.27;12.58
06-Febrero-2018 => Estacion: Centro;0.06;12.13
07-Febrero-2018 => Estacion: Centro;0.26;15.67
08-Febrero-2018 => Estacion: Centro;0.4;15.5
09-Febrero-2018 => Estacion: Centro;0.68;16.16
10-Febrero-2018 => Estacion: Centro;0.73;19.63
11-Febrero-2018 => Estacion: Centro;0.77;19.78
12-Febrero-2018 => Estacion: Centro;0.84;26.31
13-Febrero-2018 => Estacion: Centro;1.14;25.95
14-Febrero-2018 => Estacion: Centro;0.9;25.14
15-Febrero-2018 => Estacion: Centro;0.53;20.51
16-Febrero-2018 => Estacion: Centro;0.73;20.47
17-Febrero-2018 => Estacion: Centro;0.64;22.58
18-Febrero-2018 => Estacion: Centro;0.53;18.8
19-Febrero-2018 => Estacion: Centro;0.66;15.51
20-Febrero-2018 => Estacion: Centro;0.74;15.04
21-Febrero-2018 => Estacion: Centro;0.64;14.82
22-Febrero-2018 => Estacion: Centro;0.68;13.16
23-Febrero-2018 => Estacion: Centro;0.61;12.4
24-Febrero-2018 => Estacion: Centro;0.64;11.07
25-Febrero-2018 => Estacion: Centro;0.57;11.19
26-Febrero-2018 => Estacion: Centro;0.69;14.01
27-Febrero-2018 => Estacion: Centro;0.71;17.52
28-Febrero-2018 => Estacion: Centro;0.65;15.86
01-Febrero-2018 => Estacion: Guamani;0.48;0
02-Febrero-2018 => Estacion: Guamani;0.69;0
03-Febrero-2018 => Estacion: Guamani;0.86;0
04-Febrero-2018 => Estacion: Guamani;0.65;0
05-Febrero-2018 => Estacion: Guamani;0.64;0
06-Febrero-2018 => Estacion: Guamani;0.74;0
07-Febrero-2018 => Estacion: Guamani;0.7;0
08-Febrero-2018 => Estacion: Guamani;0.67;0
09-Febrero-2018 => Estacion: Guamani;0.71;0
10-Febrero-2018 => Estacion: Guamani;0.73;0
11-Febrero-2018 => Estacion: Guamani;0.7;0
12-Febrero-2018 => Estacion: Guamani;0.58;0
13-Febrero-2018 => Estacion: Guamani;0.78;0
14-Febrero-2018 => Estacion: Guamani;0.85;0
15-Febrero-2018 => Estacion: Guamani;0.76;0
16-Febrero-2018 => Estacion: Guamani;0.76;0
17-Febrero-2018 => Estacion: Guamani;0.87;0
18-Febrero-2018 => Estacion: Guamani;0.8;0
19-Febrero-2018 => Estacion: Guamani;0.59;0
20-Febrero-2018 => Estacion: Guamani;0.74;0
21-Febrero-2018 => Estacion: Guamani;0.62;0
22-Febrero-2018 => Estacion: Guamani;0.76;0
23-Febrero-2018 => Estacion: Guamani;0.65;0
24-Febrero-2018 => Estacion: Guamani;0.7;0
25-Febrero-2018 => Estacion: Guamani;0.65;0
26-Febrero-2018 => Estacion: Guamani;0.68;0
27-Febrero-2018 => Estacion: Guamani;0.73;0
28-Febrero-2018 => Estacion: Guamani;0.78;0
01-Febrero-2018 => Estacion: Los Chillos;0.69;17.97
02-Febrero-2018 => Estacion: Los Chillos;0.75;17.15
03-Febrero-2018 => Estacion: Los Chillos;0.75;18.62
04-Febrero-2018 => Estacion: Los Chillos;0.56;15.13
05-Febrero-2018 => Estacion: Los Chillos;0.44;8.88
06-Febrero-2018 => Estacion: Los Chillos;0.41;7.99
07-Febrero-2018 => Estacion: Los Chillos;0.37;9.18
08-Febrero-2018 => Estacion: Los Chillos;0.33;7.64
09-Febrero-2018 => Estacion: Los Chillos;0.48;10.94
10-Febrero-2018 => Estacion: Los Chillos;0.45;13.82
11-Febrero-2018 => Estacion: Los Chillos;0.46;13.48
12-Febrero-2018 => Estacion: Los Chillos;0.43;20.42
13-Febrero-2018 => Estacion: Los Chillos;0.48;19.84
14-Febrero-2018 => Estacion: Los Chillos;0.54;18.72
15-Febrero-2018 => Estacion: Los Chillos;0.54;15.07
16-Febrero-2018 => Estacion: Los Chillos;0.57;13.34
17-Febrero-2018 => Estacion: Los Chillos;0.63;16.01
18-Febrero-2018 => Estacion: Los Chillos;0.56;14.52
19-Febrero-2018 => Estacion: Los Chillos;0.68;12.11
20-Febrero-2018 => Estacion: Los Chillos;0.58;12.08
21-Febrero-2018 => Estacion: Los Chillos;0.54;9.64
22-Febrero-2018 => Estacion: Los Chillos;0.54;8.27
23-Febrero-2018 => Estacion: Los Chillos;0.53;6.87
24-Febrero-2018 => Estacion: Los Chillos;0.49;6.42
25-Febrero-2018 => Estacion: Los Chillos;0.52;8.64
26-Febrero-2018 => Estacion: Los Chillos;0.58;11.78
27-Febrero-2018 => Estacion: Los Chillos;0.61;12.4
28-Febrero-2018 => Estacion: Los Chillos;0.54;11.84
01-Marzo-2018 => Estacion: Cotocollao;0.55;19.3
02-Marzo-2018 => Estacion: Cotocollao;0.75;17.54
03-Marzo-2018 => Estacion: Cotocollao;0.6;18.16
04-Marzo-2018 => Estacion: Cotocollao;0.52;14.48
05-Marzo-2018 => Estacion: Cotocollao;0.55;14.59
06-Marzo-2018 => Estacion: Cotocollao;0.55;20.34
07-Marzo-2018 => Estacion: Cotocollao;0.77;22.17
08-Marzo-2018 => Estacion: Cotocollao;0.6;17.21
09-Marzo-2018 => Estacion: Cotocollao;0.62;14.05
10-Marzo-2018 => Estacion: Cotocollao;0.71;14.71
